,use_case,missing_fileds
0,uae_standard_tax_invoice,"{'missing_fields': ['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'amount_due_for_payment']}"
1,uae_standard_tax_invoice,"{'missing_fields': ['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description']}"
2,uae_standard_tax_invoice,"{'missing_fields': ['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'invoiced_quantity', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description']}"
3,supplies_under_reverse_charge_mechanism,"{'missing_fields': ['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'invoice_currency_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_legal_registration_identifier', 'buyer_legal_registration_identifier_type', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'invoiced_quantity', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'reverse_charge_statement', 'rcm_codes', 'vat_zero_rating_reason_text_fields', 'payment_settlement_details', 'invoice_period_dates', 'buyer_identification_and_scheme_identifier']}"
4,supplies_under_reverse_charge_mechanism,"{'missing_fields': ['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_legal_registration_identifier', 'buyer_legal_registration_identifier_type', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'reverse_charge_statement', 'rcm_codes', 'vat_zero_rating_reason_text_fields', 'payment_settlement_details', 'invoice_period_dates', 'buyer_identification_and_scheme_identifier']}"
5,supplies_under_reverse_charge_mechanism,"{'missing_fields': ['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'invoice_currency_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'invoiced_quantity', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'reverse_charge_statement', 'rcm_codes', 'vat_zero_rating_reason_text_fields', 'payment_settlement_details', 'invoice_period_dates', 'buyer_identification_and_scheme_identifier']}"
6,supplies_under_profit_margin_scheme,"{'missing_fields': ['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'invoice_currency_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'invoiced_quantity', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'no_separate_vat_amount', 'mandatory_statement', 'specific_tax_category_code', 'additional_fields_for_original_purchase_details']}"
7,supplies_under_profit_margin_scheme,"{'missing_fields': ['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'no_separate_vat_amount', 'mandatory_statement', 'specific_tax_category_code', 'additional_fields_for_original_purchase_details']}"
8,supplies_under_profit_margin_scheme,"{'missing_fields': ['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'no_separate_vat_amount', 'mandatory_statement', 'specific_tax_category_code', 'additional_fields_for_original_purchase_details']}"
9,supplies_under_a_free_zone,"{'missing_fields': ['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'invoiced_quantity', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'transaction_type_code_flag', 'vat_treatment_for_goods_declaration', 'vat_treatment_for_services_declaration', 'declaration_for_beneficiary', 'proof_of_movement_documentation', 'tax_category_code_for_vat_treatment']}"
